Time (s),Percentage Distance (%)
0.0,97.86101168172814
0.015016794204711914,97.86101168172814
0.03202509880065918,97.86101168172814
0.05052661895751953,97.86101168172814
0.064544677734375,97.86101168172814
0.08527660369873047,97.86101168172814
0.09673094749450684,97.86101168172814
0.1131443977355957,97.86101168172814
0.1293778419494629,97.86101168172814
0.14568686485290527,97.86101168172814
0.16328883171081543,97.86101168172814
0.1788010597229004,97.86101168172814
0.1960604190826416,97.86101168172814
0.21189379692077637,97.86101168172814
0.22878694534301758,97.86101168172814
0.24532413482666016,97.86101168172814
0.2612285614013672,97.47673521732352
0.277385950088501,96.4923335504271
0.29448723793029785,95.17219876054496
0.31235456466674805,93.89972651128336
0.32838010787963867,92.91655553121882
0.34438061714172363,92.48614596182676
0.3615400791168213,91.96473664168818
0.3782355785369873,91.52801553702552
0.394655704498291,91.0598487448091
0.41305088996887207,90.65971971218372
0.42873644828796387,90.35896731817866
0.44545602798461914,90.39665833415621
0.4618349075317383,91.17803725330347
0.47862839698791504,91.43484125174488
0.4953479766845703,91.81329350760846
0.5113852024078369,92.2014587720856
0.5269911289215088,92.44963728219659
0.5433123111724854,92.87709116009508
0.558847188949585,93.2899794592333
0.5760238170623779,93.57690524471214
0.5916707515716553,94.02263111391854
0.6084530353546143,94.45768326253501
0.6241235733032227,95.23541617253952
0.6409621238708496,96.3508610773821
0.6612203121185303,97.32366708890152
0.6737065315246582,98.48092513697233
0.6899898052215576,98.98591281601735
0.7067403793334961,99.83856063930398
0.7230665683746338,100.52167165908325
0.7392838001251221,101.3846071889565
0.7556512355804443,102.2517633109024
0.772010087966919,103.12644045594
0.7886874675750732,104.00624583788769
0.8039336204528809,104.53802725970678
0.8210265636444092,104.89061351644749
0.8382630348205566,104.89061351644749
0.8536376953125,105.24709852447329
0.8686795234680176,105.60917851547174
0.8855595588684082,105.79372456553085
0.903249979019165,106.15408398783315
0.9214029312133789,106.15408398783315
0.936988353729248,106.15998368730777
0.9544906616210938,106.34084464146987
0.9709384441375732,106.35405928786948
0.9870712757110596,106.55064869180593
1.0030291080474854,106.5585333946621
1.019674301147461,106.5585333946621
1.037034273147583,106.38392982891283
1.0524883270263672,104.82943003928906
1.0707926750183105,103.10214529454991
1.0865144729614258,101.36667603853948
1.10337495803833,99.8064250926798
1.1196315288543701,98.75957566519283
1.137033224105835,97.35332714552638
1.1521542072296143,95.58811772124884
1.169023036956787,93.46518250832916
1.1865134239196777,91.16128225168214
1.2027795314788818,89.04294013175839
1.2212204933166504,86.75207482311066
1.237563133239746,82.54747247933342
1.2546367645263672,79.22848075087109
1.2701852321624756,75.73499338380365
1.2856309413909912,72.24172650449282
1.3032257556915283,68.92335773111282
1.3191094398498535,65.97026092442688
1.3366589546203613,63.39011068612276
1.3527405261993408,61.00913550417103
1.369835615158081,59.16862085569482
1.3862783908843994,58.02235035483629
1.402113437652588,57.38729299593006
1.417119026184082,56.41196481663127
1.4341204166412354,55.322090200012774
1.450362205505371,54.39540497810443
1.4663095474243164,54.07968621510214
1.4821979999542236,54.07968621510214
1.4987990856170654,54.07968621510214
1.5178802013397217,54.07968621510214
1.5334386825561523,54.07968621510214
1.551295518875122,54.07968621510214
1.5682930946350098,53.90739215503573
1.5843603610992432,53.59278888742289
1.5999243259429932,53.623278275553
1.6170728206634521,53.623278275553
1.6326472759246826,53.451227736937255
1.650338888168335,52.99863101127688
1.666412115097046,52.41231062645541
1.684399127960205,52.10451178736684
1.6995327472686768,51.96889076126063
1.7185277938842773,51.83409369455195
1.7347700595855713,51.22580118990741
1.7502565383911133,50.83245765692952
1.768453598022461,50.404841502353584
1.7849757671356201,49.9815132540589
1.800854206085205,49.6869419315366
1.816704511642456,49.73149994841403
1.833984136581421,49.73149994841403
1.8502569198608398,49.73149994841403
1.8665790557861328,49.607868356052784
1.8842048645019531,49.53175261097094
1.8988566398620605,49.41071282612889
1.9150025844573975,49.242556522900784
1.9312503337860107,49.29061544636754
1.9473493099212646,49.29061544636754
1.963012933731079,49.29061544636754
1.9787614345550537,49.29061544636754
1.995262861251831,49.29061544636754
2.0122787952423096,49.29061544636754
2.028132438659668,48.78692320005084
2.0450167655944824,48.500844884051816
2.0608532428741455,48.383540577942355
2.0771288871765137,48.26721710510863
2.0941355228424072,48.31877536620537
2.10972261428833,48.31877536620537
2.1265454292297363,48.31877536620537
2.143460512161255,48.15188157392964
2.160850763320923,47.98504399541127
2.1775317192077637,47.484874466594654
2.195514440536499,46.981981297327906
2.2113208770751953,46.548199719591
2.228262186050415,45.604010510255435
2.244159698486328,45.31165901787531
2.260835886001587,45.029622979753356
2.275836944580078,44.687394587060254
2.293203353881836,44.598430313581396
2.3097901344299316,44.66995787133353
2.3261404037475586,44.66995787133353
2.342738389968872,44.66995787133353
2.359125852584839,44.66995787133353
2.375120162963867,44.66995787133353
2.392226457595825,44.66995787133353
2.4074630737304688,44.66995787133353
2.423701524734497,44.66995787133353
2.440985679626465,44.51066098941788
2.4582712650299072,44.32943252439417
2.4739742279052734,43.93032364707407
2.489645481109619,43.77566345927353
2.505843162536621,43.85549999954056
2.522430658340454,43.85549999954056
2.5393259525299072,43.85549999954056
2.5549705028533936,43.85549999954056
2.5709824562072754,43.85549999954056
2.5883285999298096,43.85549999954056
